Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,Netherlands,Self-taught,Computer programming or Web development,Web developer; Mobile developer; Graphics programming,Agree,10 to 19 employees,I prefer not to answer,8
White or of European descent,Male,Canada,On-the-job training; Self-taught,A non-computer-focused engineering discipline,Web developer; Mobile developer; Systems administrator,Agree,10 to 19 employees,Venture-funded startup,7
White or of European descent,Male,United Kingdom,Industry certification; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Database administrator; Systems administrator,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Belgium,Online course; Part-time/evening course; On-the-job training; Hackathon; Open source contributions,Computer programming or Web development,Web developer,Strongly disagree,20 to 99 employees,Venture-funded startup,8
White or of European descent,Male,United States,Online course; Industry certification; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,10 to 19 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,United States,Online course; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,5
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer science or software engineering,Web developer; DevOps specialist,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,8
East Asian,Male,United States,Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,DevOps specialist,Somewhat agree,100 to 499 employees,Venture-funded startup,8
White or of European descent,Male,United States,On-the-job training; Self-taught,A non-computer-focused engineering discipline,Web developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Government agency or public school/university,9
White or of European descent,Male,Switzerland,On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer,Strongly agree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Hackathon,Fine arts or performing arts,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
Hispanic or Latino/Latina,Male,Brazil,Online course; On-the-job training; Self-taught,Computer science or software engineering,Desktop applications developer,Somewhat agree,10 000 or more employees,State-owned company,7
Black or of African descent,Male,Canada,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Systems administrator,Somewhat agree,100 to 499 employees,Publicly-traded corporation,8
White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Desktop applications developer; Systems administrator; Other,Agree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,United States,Self-taught,Computer science or software engineering,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,Agree,10 000 or more employees,Privately-held limited company  not in startup mode,6
Hispanic or Latino/Latina; White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Disagree,1 000 to 4 999 employees,Non-profit/non-governmental organization or private school/university,8
East Asian,Male,India,Industry certification,Computer science or software engineering,Web developer,Strongly disagree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,5
Middle Eastern,Male,Turkey,Online course; On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Database administrator; Systems administrator,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,India,Self-taught; Open source contributions,Computer science or software engineering,Web developer,Agree,10 000 or more employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Israel,Online course; Self-taught; Open source contributions,Computer science or software engineering,Other,Agree,100 to 499 employees,Venture-funded startup,9
White or of European descent,Male,Brazil,Online course; Industry certification; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer; Database administrator,Somewhat agree,500 to 999 employees,I don't know,6
