 id ,CompanySize,CompanyType,CompetePeers,Country,DeveloperType,EducationTypes,ExpectedSalary,Gender,JobSatisfaction,MajorUndergrad,Race,Salary
102,20 to 99 employees,Privately-held limited company; not in startup mode,Disagree,Germany,Developer with a statistics or mathematics background; Desktop applications developer; Other,Self-taught; Open source contributions,NA,Male,6,Computer engineering or electrical/electronics engineering,White or of European descent,80000
103,20 to 99 employees,Privately-held limited company; not in startup mode,NA,United States,Web developer,Part-time/evening course,NA,Female,10,Something else,White or of European descent,51000
104,1;000 to 4;999 employees,Government agency or public school/university,NA,Brazil,Web developer; Desktop applications developer,Online course; Industry certification; On-the-job training; Self-taught,NA,Male,6,Computer science or software engineering,White or of European descent,10000
105,Fewer than 10 employees,Non-profit/non-governmental organization or private school/university,NA,United Kingdom,Web developer; Desktop applications developer; Database administrator,Online course; Self-taught; Open source contributions,NA,nonbinary,10,Fine arts or performing arts,White or of European descent,NA
106,10 to 19 employees,Privately-held limited company; not in startup mode,Disagree,United Kingdom,Desktop applications developer,Industry certification; Self-taught; Open source contributions,NA,Male,0,Mathematics or statistics,White or of European descent,NA
107,20 to 99 employees,Privately-held limited company; not in startup mode,Disagree,India,Desktop applications developer,Self-taught,NA,Male,7,A natural science,South Asian,NA
108,I don't know,Privately-held limited company; not in startup mode,NA,United Kingdom,Mobile developer,Industry certification; Hackathon; Open source contributions,NA,Male,9,Computer science or software engineering,White or of European descent,NA
109,Fewer than 10 employees,I don't know,Strongly disagree,United States,Web developer,Online course; Part-time/evening course; Industry certification; Self-taught; Coding competition; Open source contributions,NA,Male,4,NA,White or of European descent,NA
110,10 to 19 employees,Privately-held limited company; not in startup mode,Agree,United Kingdom,Web developer,Bootcamp,NA,Male,7,A business discipline,White or of European descent,32500
111,10;000 or more employees,Privately-held limited company; not in startup mode,Disagree,Mexico,Web developer; Systems administrator; Quality assurance engineer,NA,NA,Male,6,Computer engineering or electrical/electronics engineering,White or of European descent,40000
112,1;000 to 4;999 employees,Privately-held limited company; not in startup mode,Agree,India,Web developer,On-the-job training; Self-taught,NA,Male,7,A non-computer-focused engineering discipline,South Asian,NA
113,20 to 99 employees,Privately-held limited company; not in startup mode,Agree,United Kingdom,Desktop applications developer,Self-taught; Hackathon,NA,Male,7,Computer programming or Web development,White or of European descent,30000
